"","Year","MW","S","NE","W","Jan_Percentage_Change","Feb_Percentage_Change","Mar_Percentage_Change","Apr_Percentage_Change","May_Percentage_Change","Jun_Percentage_Change","Jul_Percentage_Change","Aug_Percentage_Change","Sep_Percentage_Change","Oct_Percentage_Change","Nov_Percentage_Change","Dec_Percentage_Change","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Ave","Jan_Egg_Inflation_Dif","Feb_Egg_Inflation_Dif","Mar_Egg_Inflation_Dif","Apr_Egg_Inflation_Dif","May_Egg_Inflation_Dif","Jun_Egg_Inflation_Dif","Jul_Egg_Inflation_Dif","Aug_Egg_Inflation_Dif","Sep_Egg_Inflation_Dif","Oct_Egg_Inflation_Dif","Nov_Egg_Inflation_Dif","Dec_Egg_Inflation_Dif"
"1",2014,1,0,0,0,NA,0.883977900552479,2.51916757940855,4.43376068376069,-10.690537084399,3.49369988545245,0.774764803541772,5.21691378363536,-3.4446764091858,-0.864864864864867,5.4525627044711,9.46225439503621,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6,NA,-0.216022099447521,1.01916757940855,2.43376068376069,-12.790537084399,1.39369988545245,-1.22523519645823,3.51691378363536,-5.1446764091858,-2.56486486486487,4.1525627044711,8.66225439503621
"2",2014,0,0,0,1,NA,2.57685352622061,0.617011899515196,0.657030223390276,-5.00435161009575,0.503893724232718,1.59525979945305,-1.5253476895469,3.46241457858771,-2.90620871862615,-7.21088435374151,30.2052785923754,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6,NA,1.47685352622061,-0.882988100484804,-1.34296977660972,-7.10435161009575,-1.59610627576728,-0.404740200546947,-3.2253476895469,1.76241457858771,-4.60620871862615,-8.51088435374151,29.4052785923754
"3",2014,0,1,0,0,NA,1.61137440758294,5.22388059701491,-0.132978723404242,-1.64225477141589,-3.6101083032491,-1.96629213483147,-3.3906399235912,1.28521997034108,-0.927281600780872,2.26600985221677,7.99614643545279,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8,1.6,NA,0.511374407582944,3.72388059701491,-2.13297872340424,-3.74225477141589,-5.7101083032491,-3.96629213483147,-5.0906399235912,-0.414780029658922,-2.62728160078087,0.966009852216766,7.19614643545279
"4",2015,0,0,0,1,13.0630630630631,-2.85524568393094,-5.6390977443609,-4.09272002897501,-0.302114803625375,23.1818181818182,4.82779827798279,11.7043121149897,-4.54306722689076,-5.80467675378267,-2.42406542056074,-3.02304699191859,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1,13.1630630630631,-2.85524568393094,-5.5390977443609,-3.89272002897501,-0.302114803625375,23.0818181818182,4.62779827798279,11.5043121149897,-4.54306722689076,-6.00467675378267,-2.92406542056074,-3.72304699191859
"5",2015,0,1,0,0,1.42729705619982,-0.527704485488123,-1.94518125552609,0.225428313796217,-6.43274853801169,28.75,2.16579536967887,7.0906432748538,2.9692832764505,1.1600928074246,-5.04587155963302,0.897170462387842,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1,1.52729705619982,-0.527704485488123,-1.84518125552608,0.425428313796217,-6.43274853801169,28.65,1.96579536967887,6.8906432748538,2.9692832764505,0.960092807424595,-5.54587155963302,0.197170462387842
"6",2015,1,0,0,0,-8.6443079829948,-1.6546018614271,6.15141955835963,-7.4294205052006,-1.65864098448367,34.7116430903156,-0.12116316639742,22.1188839466235,-0.761589403973517,-11.8451785118452,-9.3111279333838,7.220367278798,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7,0.1,-8.5443079829948,-1.6546018614271,6.25141955835963,-7.2294205052006,-1.65864098448367,34.6116430903156,-0.32116316639742,21.9188839466235,-0.761589403973517,-12.0451785118452,-9.8111279333838,6.520367278798
"7",2016,1,0,0,0,-13.7407551576489,-1.26353790613718,-12.3857404021938,-22.5873761085029,-5.18867924528301,-5.11727078891259,3.29588014981275,-7.25163161711385,4.2220484753714,-11.7779444861215,1.10544217687076,4.37342304457529,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,-15.1407551576489,-2.26353790613718,-13.2857404021938,-23.6873761085029,-6.18867924528301,-6.11727078891259,2.49588014981275,-8.35163161711385,2.7220484753714,-13.3779444861215,-0.594557823129237,2.27342304457529
"8",2016,0,0,1,0,NA,NA,NA,NA,NA,-13.560929350403,6.03400987383433,0.310398344542162,-8.56111397627643,3.21489001692048,-4.31693989071039,-0.456881781838936,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,NA,NA,NA,NA,NA,-14.560929350403,5.23400987383433,-0.789601655457838,-10.0611139762764,1.61489001692048,-6.01693989071039,-2.55688178183894
"9",2016,0,0,0,1,-7.71604938271605,7.1571906354515,-17.0724094881398,-4.44109898381633,4.88381252461598,-10.2140443109275,0.96194061062318,-13.2560066280033,6.16045845272206,NA,NA,NA,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,-9.11604938271605,6.1571906354515,-17.9724094881398,-5.54109898381633,3.88381252461598,-11.2140443109275,0.16194061062318,-14.3560066280033,4.66045845272206,NA,NA,NA
"10",2016,0,1,0,0,-19.1176470588235,-2.95983086680762,-4.44444444444444,-7.47834017327862,-8.47708230655495,-16.5320409262251,2.58064516129033,-6.9811320754717,2.6369168356998,-4.94071146245059,-10.7415107415107,7.29813664596273,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1,1.3,-20.5176470588235,-3.95983086680762,-5.34444444444444,-8.57834017327862,-9.47708230655495,-17.5320409262251,1.78064516129033,-8.0811320754717,1.1369168356998,-6.54071146245059,-12.4415107415107,5.19813664596273
"11",2017,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2017,0,0,1,0,7.91738382099827,4.35938330675174,-8.66021395822721,1.28276631344117,14.2070484581498,-2.26615236258436,-3.65071534287124,3.73783922171018,-5.67620927936821,9.20983778126636,0.0958313368471408,11.5844901866922,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1,2.1,5.41738382099827,1.65938330675174,-11.0602139582272,-0.917233686558825,12.3070484581498,-3.86615236258436,-5.35071534287124,1.83783922171018,-7.87620927936821,7.20983778126636,-2.10416866315286,9.48449018669219
"13",2017,1,0,0,0,22.4012892828364,-15.0757077024358,-3.95348837209302,2.98627925746568,-4.70219435736677,-13.8980263157895,1.33715377268386,3.01602262016964,8.1427264409881,9.64467005076144,-3.62654320987654,26.1008807045636,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1,2.1,19.9012892828364,-17.7757077024358,-6.35348837209302,0.786279257465685,-6.60219435736677,-15.4980263157895,-0.362846227316137,1.11602262016965,5.9427264409881,7.64467005076144,-5.82654320987654,24.0008807045636
"14",2017,0,1,0,0,13.2416787264834,-8.24281150159745,-2.36768802228412,-2.71041369472181,-3.51906158357772,-0.151975683890582,1.7503805175038,1.27150336574422,7.60709010339733,7.0006863417982,-2.50160359204618,20.1973684210526,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1,2.1,10.7416787264834,-10.9428115015974,-4.76768802228412,-4.91041369472181,-5.41906158357772,-1.75197568389058,0.0503805175038023,-0.62849663425578,5.40709010339733,5.0006863417982,-4.70160359204618,18.0973684210526
"15",2018,0,1,0,0,-5.69239189928844,-2.4376088218224,5.53242117787032,18.2074408117249,-3.3381020505484,-24.9136655155402,6.96452036793691,-5.65110565110565,-1.23697916666667,-0.0659195781146926,2.30870712401055,2.77240490006447,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4,-7.79239189928844,-4.6376088218224,3.13242117787032,15.7074408117249,-6.1381020505484,-27.8136655155402,4.06452036793691,-8.35110565110565,-3.53697916666667,-2.56591957811469,0.108707124010545,0.872404900064474
"16",2018,1,0,0,0,0.571428571428578,2.65151515151514,-2.46002460024599,18.6002522068096,-6.4327485380117,-16.4204545454545,6.05030591434399,-4.42307692307692,-3.82293762575454,2.99860529986054,-2.5727826675694,-3.68311327310633,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4,-1.52857142857142,0.451515151515138,-4.86002460024599,16.1002522068096,-9.2327485380117,-19.3204545454545,3.15030591434399,-7.12307692307692,-6.12293762575454,0.498605299860535,-4.7727826675694,-5.58311327310633
"17",2018,0,0,0,1,NA,NA,NA,NA,NA,-6.5989847715736,2.67558528428093,4.76384364820848,-12.5145744267392,-3.7760995113283,5.4016620498615,-6.83311432325887,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4,NA,NA,NA,NA,NA,-9.4989847715736,-0.224414715719065,2.06384364820848,-14.8145744267392,-6.2760995113283,3.2016620498615,-8.73311432325887
"18",2018,0,0,1,0,0.471900471900466,-4.86763450042698,15.7091561938959,-2.48254460822344,-1.94908512330947,-8.55983772819472,3.94853593611357,-7.08493384549722,0.137804317868628,-0.825688073394504,-0.925069380203514,0.186741363211951,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9,2.4,-1.62809952809953,-7.06763450042698,13.3091561938959,-4.98254460822344,-4.74908512330947,-11.4598377281947,1.04853593611357,-9.78493384549722,-2.16219568213137,-3.3256880733945,-3.12506938020351,-1.71325863678805
"19",2019,0,0,1,0,-4.65983224603914,0.635386119257109,-0.194269062651775,-1.55717761557178,NA,NA,NA,NA,NA,NA,NA,NA,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8,-6.25983224603914,-0.864613880742891,-2.09426906265178,-3.55717761557178,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019,0,0,0,1,5.73577809120829,-0.04446420631391,-2.58007117437724,-0.821917808219164,-10.8195211786372,1.60041300980898,4.97967479674797,-7.88964181994191,14.3457698370993,-11.3970588235294,3.21576763485478,9.64824120603014,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8,4.13577809120829,-1.54446420631391,-4.48007117437724,-2.82191780821916,-12.6195211786372,0.000413009808976295,3.17967479674797,-9.5896418199419,12.6457698370993,-13.1970588235294,1.11576763485478,7.34824120603014
"21",2019,0,1,0,0,-5.08155583437894,2.18109715796433,-5.10996119016818,-5.9986366734833,-8.91950688905003,-8.91719745222931,3.58391608391611,-7.17299578059072,23.3636363636363,-11.4959469417833,11.8234804329725,12.2859270290395,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8,-6.68155583437894,0.681097157964329,-7.00996119016818,-7.9986366734833,-10.71950688905,-10.5171974522293,1.78391608391611,-8.87299578059072,21.6636363636363,-13.2959469417833,9.72348043297252,9.98592702903946
"22",2019,1,0,0,0,1.44300144300145,-2.20483641536272,4,-6.08391608391609,-5.28667163067759,-15.8805031446541,2.05607476635514,-0.0915750915751024,7.4243813015582,-1.70648464163823,8.76736111111112,0.877893056664014,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,1.8,-0.156998556998554,-3.70483641536272,2.1,-8.08391608391609,-7.08667163067759,-17.4805031446541,0.256074766355143,-1.7915750915751,5.7243813015582,-3.50648464163823,6.66736111111112,-1.42210694333599
"23",2020,1,0,0,0,-3.56012658227848,2.87120590648071,10.4465709728868,21.5162454873646,-16.1021984551396,-4.32011331444759,-7.03182827535159,-7.96178343949046,6.05536332179932,4.81239804241436,3.03501945525293,2.34138972809668,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.2,-6.06012658227848,0.571205906480712,8.94657097288677,21.2162454873646,-16.2021984551396,-4.92011331444759,-8.03182827535159,-9.26178343949046,4.65536332179932,3.61239804241436,1.83501945525293,0.941389728096677
"24",2020,0,1,0,0,-5.37135278514589,-2.38262088297128,3.5175879396985,48.2662968099861,-28.7652011225444,-6.10636900853578,-9.51048951048951,-10.1236476043277,3.09544282029235,1.58465387823186,14.4499178981938,-1.93687230989956,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.2,-7.87135278514589,-4.68262088297128,2.0175879396985,47.9662968099861,-28.8652011225444,-6.70636900853578,-10.5104895104895,-11.4236476043277,1.69544282029235,0.384653878231856,13.2499178981938,-3.33687230989956
"25",2020,0,0,1,0,-6.56063618290259,-0.531914893617014,1.60427807486629,25.4210526315789,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.2,-9.06063618290259,-2.83191489361701,0.104278074866294,25.1210526315789,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020,0,0,0,1,-0.504124656278648,1.33578995854446,-0.5,9.95888533576976,-5.77482343165767,-4.76190476190474,-1.94444444444446,-0.0944287063267102,-0.850661625708893,-2.47855100095329,0.586510263929618,2.81827016520895,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.2,-3.00412465627865,-0.964210041455535,-2,9.65888533576976,-5.87482343165767,-5.36190476190474,-2.94444444444446,-1.39442870632671,-2.25066162570889,-3.67855100095329,-0.613489736070382,1.41827016520895
"27",2021,1,0,0,0,3.46863468634686,3.5663338088445,4.68319559228652,-3.22368421052631,3.19510537049625,3.95256916996047,2.0912547528517,1.67597765363128,11.5384615384615,-4.37876299945265,-5.09444762449915,8.62484921592279,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,4.7,2.06863468634686,1.8663338088445,2.08319559228652,-7.42368421052631,-1.80489462950375,-1.44743083003953,-3.3087452471483,-3.62402234636872,6.13846153846154,-10.5787629994526,-11.8944476244992,1.62484921592279
"28",2021,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76175548589341,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.23824451410659
"29",2021,0,0,0,1,-1.93761814744802,1.78313253012048,-0.284090909090917,3.51377018043686,-3.16513761467889,-6.01610611084795,4.13306451612903,1.16166505324298,-0.334928229665055,3.60057609217475,0.324374420759965,4.6189376443418,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,4.7,-3.33761814744802,0.0831325301204793,-2.88409090909092,-0.686229819563141,-8.16513761467889,-11.416106110848,-1.26693548387097,-4.13833494675702,-5.73492822966505,-2.59942390782525,-6.47562557924003,-2.3810623556582
"30",2021,0,1,0,0,-2.63350402340893,16.3035311795642,-2.77777777777779,1.66112956810631,-2.87581699346405,2.55720053835802,-1.83727034120735,4.41176470588236,5.8258642765685,-1.14942528735633,-11.0771113831089,0.412938747419123,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,4.7,-4.03350402340893,14.6035311795642,-5.37777777777779,-2.53887043189369,-7.87581699346405,-2.84279946164198,-7.23727034120735,-0.88823529411764,0.425864276568504,-7.34942528735633,-17.8771113831089,-6.58706125258088
"31",2022,0,0,1,0,0.654582074521648,7.35367683841921,3.49487418452936,28.5457001350743,9.03677758318739,-6.00706713780919,12.6110731373889,4.46130500758726,-8.89018012783266,28.0293367346939,3.91033623910337,14.765100671141,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8,-6.84541792547835,-0.546323161580791,-5.00512581547064,20.2457001350743,0.436777583187395,-15.1070671378092,4.11107313738892,-3.83869499241274,-17.0901801278327,20.3293367346939,-3.18966376089663,8.26510067114096
"32",2022,0,1,0,0,25.7710760795065,0.762942779291564,3.02866414277989,19.002624671916,14.6890163211292,-2.92307692307693,8.39936608557845,10.8918128654971,-12.5576796308504,17.6781002638522,4.80461242793082,20.7518337408313,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8,18.2710760795065,-7.13705722070844,-5.47133585722011,10.702624671916,6.08901632112924,-12.0230769230769,-0.100633914421547,2.59181286549705,-20.7576796308504,9.97810026385224,-2.29538757206918,14.2518337408313
"33",2022,1,0,0,0,-0.499722376457523,5.52455357142858,-1.7451084082496,30.5166846071044,18.5154639175258,-9.11621433542101,5.09188361408881,2.40437158469944,-0.106723585912494,12.0014245014245,7.69475357710652,21.3758488337762,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8,-7.99972237645752,-2.37544642857142,-10.2451084082496,22.2166846071044,9.91546391752579,-18.216214335421,-3.40811638591119,-5.89562841530056,-8.30672358591249,4.30142450142452,0.594753577106517,14.8758488337762
"34",2022,0,0,0,1,3.48785871964679,5.2901023890785,3.32252836304701,14.3921568627451,3.80527939664039,-0.726552179656548,2.26214238190285,8.19778789850358,-8.59891761876127,NA,NA,NA,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,8,-4.01214128035321,-2.6098976109215,-5.17747163695299,6.09215686274511,-4.79472060335961,-9.82655217965655,-6.23785761809715,-0.102212101496416,-16.7989176187613,NA,NA,NA
"35",2023,0,0,1,0,10.108604845447,-9.40819423368742,-15.5569514237856,-3.12422514257378,-14.0261069874584,-21.3456385829116,-8.62982588947766,-3.43827671913837,0.72930072930073,-3.32197614991482,8.19383259911895,14.4543973941368,6.4,6,5,4.9,4,3,3.2,3.7,3.7,3.2,3.1,3.4,4.1,3.70860484544695,-15.4081942336874,-20.5569514237856,-8.02422514257378,-18.0261069874584,-24.3456385829116,-11.8298258894777,-7.13827671913837,-2.97069927069927,-6.52197614991482,5.09383259911895,11.0543973941368
"36",2023,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6,5,4.9,4,3,3.2,3.7,3.7,3.2,3.1,3.4,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2023,0,1,0,0,20.8554796254113,-12.9424083769634,-23.1176329083474,-3.69211514392992,-24.8862897985705,-16.3062283737024,-6.77002583979328,-3.99113082039911,3.06004618937643,-1.73669467787114,3.13568985176738,24.4333886124931,6.4,6,5,4.9,4,3,3.2,3.7,3.7,3.2,3.1,3.4,4.1,14.4554796254113,-18.9424083769634,-28.1176329083474,-8.59211514392992,-28.8862897985705,-19.3062283737024,-9.97002583979328,-7.69113082039911,-0.639953810623569,-4.93669467787114,0.0356898517673758,21.0333886124931
"38",2023,1,0,0,0,8.02724397956702,-15.6721459130826,-15.6475300400534,-9.52833175055396,-17.5647305808258,-11.8845500848896,-4.14258188824663,-2.8140703517588,2.17166494312306,4.8582995951417,-0.627413127413123,16.1728994657601,6.4,6,5,4.9,4,3,3.2,3.7,3.7,3.2,3.1,3.4,4.1,1.62724397956702,-21.6721459130826,-20.6475300400534,-14.428331750554,-21.5647305808258,-14.8845500848896,-7.34258188824663,-6.5140703517588,-1.52833505687694,1.6582995951417,-3.72741312741312,12.7728994657601
"39",2024,0,0,1,0,2.34791889007471,16.3712200208551,1.10513739545997,-1.68389955686854,-3.515625,-1.46371846776704,NA,NA,NA,NA,NA,NA,3.1,3.2,3.5,3.4,3.3,3,NA,NA,NA,NA,NA,NA,NA,-0.752081109925293,13.1712200208551,-2.39486260454003,-5.08389955686854,-6.815625,-4.46371846776704,NA,NA,NA,NA,NA,NA
"40",2024,1,0,0,0,-2.09030100334447,24.1673783091375,-5.19257221458046,-6.09357997823722,-5.13711857860177,6.59609120521172,NA,NA,NA,NA,NA,NA,3.1,3.2,3.5,3.4,3.3,3,NA,NA,NA,NA,NA,NA,NA,-5.19030100334447,20.9673783091375,-8.69257221458046,-9.49357997823722,-8.43711857860177,3.59609120521172,NA,NA,NA,NA,NA,NA
"41",2024,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,3.2,3.5,3.4,3.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2024,0,1,0,0,1.28831630386494,18.9473684210526,3.61356932153392,-5.97864768683275,-6.16956850870551,-5.12303348124244,NA,NA,NA,NA,NA,NA,3.1,3.2,3.5,3.4,3.3,3,NA,NA,NA,NA,NA,NA,NA,-1.81168369613506,15.7473684210526,0.113569321533916,-9.37864768683275,-9.46956850870551,-8.12303348124244,NA,NA,NA,NA,NA,NA
